Werknummer;Werktitel;Rolle;Anteil;Sparte;Nutzungsanzahl;Betrag;Nutzer;Geschäftsjahr
1234567-001;Nachtlicht;K;5/12;MOD S;28000;55,52;Spotify;2023
1234567-001;Nachtlicht;K;5/12;MOD S;7200;16,24;Apple Music;2023
1234567-001;Nachtlicht;K;5/12;MOD S;4100;7,28;Amazon Music;2023
1234567-001;Nachtlicht;K;5/12;GOP;15000;22,24;YouTube;2023
1234567-001;Nachtlicht;K;5/12;GOP;8000;9,70;TikTok;2023
1234567-001;Nachtlicht;K;5/12;R;8;22,40;WDR 1Live;2023
1234567-001;Nachtlicht;K;5/12;R;5;14,00;SWR3;2023
1234568-001;Morgenrot;K;5/12;MOD S;38000;75,35;Spotify;2023
1234568-001;Morgenrot;K;5/12;MOD S;11200;25,26;Apple Music;2023
1234568-001;Morgenrot;K;5/12;MOD S;6800;12,07;Amazon Music;2023
1234568-001;Morgenrot;K;5/12;GOP;30000;44,49;YouTube;2023
1234568-001;Morgenrot;K;5/12;GOP;16000;19,40;TikTok;2023
1234568-001;Morgenrot;K;5/12;R;14;39,20;WDR 1Live;2023
1234568-001;Morgenrot;K;5/12;R;8;22,40;NDR 2;2023
1234568-001;Morgenrot;K;5/12;FS;3;67,50;ARD;2023
1234568-001;Morgenrot;K;5/12;U;5;35,00;Live Events;2023
1234569-001;Sternenstaub;K;5/12;MOD S;18000;35,69;Spotify;2023
1234569-001;Sternenstaub;K;5/12;MOD S;5600;12,63;Apple Music;2023
1234569-001;Sternenstaub;K;5/12;GOP;10000;14,83;YouTube;2023
1234569-001;Sternenstaub;K;5/12;R;4;11,20;SWR3;2023
1234571-001;Freiheit;K;5/12;MOD S;52000;103,12;Spotify;2023
1234571-001;Freiheit;K;5/12;MOD S;15000;33,83;Apple Music;2023
1234571-001;Freiheit;K;5/12;MOD S;8400;14,91;Amazon Music;2023
1234571-001;Freiheit;K;5/12;MOD S;4200;11,07;Deezer;2023
1234571-001;Freiheit;K;5/12;GOP;38000;56,35;YouTube;2023
1234571-001;Freiheit;K;5/12;GOP;22000;26,68;TikTok;2023
1234571-001;Freiheit;K;5/12;R;20;56,00;WDR 1Live;2023
1234571-001;Freiheit;K;5/12;R;14;39,20;NDR 2;2023
1234571-001;Freiheit;K;5/12;R;8;22,40;SWR3;2023
1234571-001;Freiheit;K;5/12;FS;5;112,50;ZDF;2023
1234571-001;Freiheit;K;5/12;U;10;70,00;Live Events;2023
1234571-001;Freiheit;K;5/12;PHONO VR;1200;26,64;CD Verkauf;2023
1234575-001;Wellenbrecher;K;5/12;MOD S;22000;43,62;Spotify;2023
1234575-001;Wellenbrecher;K;5/12;MOD S;6400;14,43;Apple Music;2023
1234575-001;Wellenbrecher;K;5/12;GOP;16000;23,72;YouTube;2023
1234575-001;Wellenbrecher;K;5/12;GOP;8000;9,70;TikTok;2023
1234575-001;Wellenbrecher;K;5/12;R;10;28,00;WDR 1Live;2023
1234575-001;Wellenbrecher;K;5/12;U;6;42,00;Live Events;2023
1234576-001;Zeitgeist;K;5/12;MOD S;30000;59,50;Spotify;2023
1234576-001;Zeitgeist;K;5/12;MOD S;8800;19,85;Apple Music;2023
1234576-001;Zeitgeist;K;5/12;GOP;22000;32,62;YouTube;2023
1234576-001;Zeitgeist;K;5/12;GOP;12000;14,55;TikTok;2023
1234576-001;Zeitgeist;K;5/12;R;15;42,00;WDR 1Live;2023
1234576-001;Zeitgeist;K;5/12;R;8;22,40;SWR3;2023
1234576-001;Zeitgeist;K;5/12;FS;3;67,50;ZDF;2023
1234576-001;Zeitgeist;K;5/12;U;8;56,00;Live Events;2023
